,FarmID,Plant_ID,incidence_b_cinerea,SampleDate,Pommaison_lettuce_date,cote_b_lactucae,incidence_sclerotinia
266,2,23,0,236,236,0,0
267,2,24,0,236,236,0,0
268,2,25,0,236,236,0,0
369,3,1,0,236,236,0,0
370,3,2,0,236,236,0,0
371,3,3,0,236,236,0,0
372,3,4,0,236,236,1,0
373,3,5,0,236,236,0,0
374,3,6,0,236,236,0,0
375,3,7,0,236,236,0,0
376,3,8,0,236,236,0,0
377,3,9,0,236,236,0,0
378,3,10,0,236,236,0,0
379,3,11,0,236,236,1,0
380,3,12,0,236,236,0,0
381,3,13,0,236,236,0,0
382,3,14,0,236,236,0,0
383,3,15,0,236,236,0,0
384,3,16,0,236,236,0,0
385,3,17,0,236,236,0,0
386,3,18,0,236,236,0,0
387,3,19,0,236,236,0,0
388,3,20,0,236,236,0,0
389,3,21,0,236,236,0,0
390,3,22,0,236,236,0,0
391,3,23,0,236,236,0,0
392,3,24,0,236,236,0,0
393,3,25,0,236,236,0,0
493,0,1,0,238,0,1,0
494,0,2,0,238,0,0,0
495,0,3,0,238,0,0,0
496,0,4,0,238,0,0,0
497,0,5,0,238,0,1,0
498,0,6,0,238,0,0,0
499,0,7,0,238,0,0,0
500,0,8,0,238,0,0,0
501,0,9,0,238,0,0,0
502,0,10,0,238,0,0,0
503,0,11,0,238,0,0,0
504,0,12,0,238,0,0,0
505,0,13,0,238,0,0,0
506,0,14,0,238,0,0,0
507,0,15,0,238,0,0,0
508,0,16,0,238,0,0,0
509,0,17,0,238,0,0,0
510,0,18,0,238,0,0,0
511,0,19,0,238,0,0,0
512,0,20,0,238,0,0,0
513,0,21,0,238,0,0,0
514,0,22,0,238,0,1,0
515,0,23,0,238,0,0,0
516,0,24,0,238,0,0,0
517,0,25,0,238,0,0,0
394,3,1,0,243,236,1,0
395,3,2,0,243,236,0,0
396,3,3,0,243,236,1,0
397,3,4,0,243,236,1,0
398,3,5,0,243,236,2,0
399,3,6,0,243,236,0,0
400,3,7,0,243,236,1,0
401,3,8,0,243,236,1,0
402,3,9,0,243,236,1,0
403,3,10,0,243,236,1,0
404,3,11,0,243,236,1,0
405,3,12,0,243,236,2,0
406,3,13,0,243,236,1,0
407,3,14,0,243,236,2,0
408,3,15,0,243,236,1,0
409,3,16,0,243,236,1,0
410,3,17,0,243,236,1,0
411,3,18,0,243,236,1,0
412,3,19,0,243,236,0,0
413,3,20,0,243,236,1,0
414,3,21,0,243,236,0,0
415,3,22,0,243,236,1,0
416,3,23,0,243,236,1,0
417,3,24,0,243,236,1,0
418,3,25,0,243,236,2,0
269,2,1,0,244,236,1,0
270,2,2,0,244,236,0,0
271,2,3,0,244,236,1,0
272,2,4,0,244,236,1,0
273,2,5,0,244,236,0,0
274,2,6,0,244,236,1,0
275,2,7,0,244,236,1,0
276,2,8,0,244,236,1,0
277,2,9,0,244,236,1,0
278,2,10,0,244,236,0,0
279,2,11,0,244,236,1,0
280,2,12,0,244,236,1,0
281,2,13,0,244,236,1,0
282,2,14,0,244,236,1,0
283,2,15,0,244,236,1,0
284,2,16,0,244,236,2,0
285,2,17,0,244,236,1,0
286,2,18,0,244,236,1,0
287,2,19,0,244,236,0,0
288,2,20,0,244,236,1,0
289,2,21,0,244,236,1,0
